trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F1608631:2023-01-08T00:39:45Z,07:00:00,07:00:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F1608631:2023-01-08T00:39:45Z,07:45:00,07:47:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F1608631:2023-01-08T00:39:45Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F1608631:2023-01-08T00:39:45Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F1608631:2023-01-08T00:39:45Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F1608631:2023-01-08T00:39:45Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F1608631:2023-01-08T00:39:45Z,10:33:00,10:33:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F1728488:2023-01-08T00:39:45Z,07:00:00,07:00:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F1728488:2023-01-08T00:39:45Z,07:45:00,07:47:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F1728488:2023-01-08T00:39:45Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F1728488:2023-01-08T00:39:45Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F1728488:2023-01-08T00:39:45Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F1728488:2023-01-08T00:39:45Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F1728488:2023-01-08T00:39:45Z,10:32:00,10:32:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F1729449:2023-01-15T00:46:35Z,06:27:00,06:27:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F1729449:2023-01-15T00:46:35Z,07:36:00,07:38:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F1729449:2023-01-15T00:46:35Z,07:59:00,08:02:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F1729449:2023-01-15T00:46:35Z,08:27:00,08:30:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F1729449:2023-01-15T00:46:35Z,08:44:00,08:47:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F1729449:2023-01-15T00:46:35Z,09:27:00,09:29:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F1729449:2023-01-15T00:46:35Z,10:27:00,10:27:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14141F1608622:2023-01-14T00:44:23Z,09:32:00,09:32:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F1608622:2023-01-14T00:44:23Z,10:37:00,10:39:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F1608622:2023-01-14T00:44:23Z,11:12:00,11:15:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14141F1608622:2023-01-14T00:44:23Z,11:29:00,11:32:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14141F1608622:2023-01-14T00:44:23Z,11:57:00,12:00:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14141F1608622:2023-01-14T00:44:23Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14141F1608622:2023-01-14T00:44:23Z,13:13:00,13:13:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14141F1608638:2023-01-12T00:40:04Z,09:32:00,09:32:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F1608638:2023-01-12T00:40:04Z,10:37:00,10:39:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F1608638:2023-01-12T00:40:04Z,11:12:00,11:15:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14141F1608638:2023-01-12T00:40:04Z,11:29:00,11:32:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14141F1608638:2023-01-12T00:40:04Z,11:57:00,12:00:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14141F1608638:2023-01-12T00:40:04Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14141F1608638:2023-01-12T00:40:04Z,13:06:00,13:06:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14141F1608648:2022-12-05T00:45:44Z,09:32:00,09:32:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F1608648:2022-12-05T00:45:44Z,10:37:00,10:39:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
