route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14140F1608631:2023-01-08T00:39:45Z,14140,0,1,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000002,OCESN14140F1728488:2023-01-08T00:39:45Z,14140,0,2,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000003,OCESN14140F1729449:2023-01-15T00:46:35Z,14140,0,3,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000004,OCESN14141F1608622:2023-01-14T00:44:23Z,14141,1,4,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000005,OCESN14141F1608638:2023-01-12T00:40:04Z,14141,1,5,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000006,OCESN14141F1608648:2022-12-05T00:45:44Z,14141,1,6,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000007,OCESN14141F1608651:2022-12-13T00:48:28Z,14141,1,7,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14142F1608618:2023-01-08T00:39:45Z,14142,0,8,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14142F1608619:2023-01-08T00:39:45Z,14142,0,9,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000010,OCESN14142F1608663:2023-01-08T00:39:45Z,14142,0,10,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14142F1608727:2023-01-15T00:46:35Z,14142,0,11,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14143F1608628:2023-01-14T00:44:23Z,14143,1,12,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14143F1608636:2023-01-14T00:44:23Z,14143,1,13,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000009,OCESN14143F1783219:2023-01-08T00:39:45Z,14143,1,14,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000011,OCESN14148F1608615:2023-01-26T00:44:03Z,14148,0,15,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000012,OCESN14148F1608623:2022-12-13T00:48:28Z,14148,0,16,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000013,OCESN14148F1608642:2023-02-02T00:52:39Z,14148,0,17,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000014,OCESN14148F1608788:2022-12-14T00:39:40Z,14148,0,18,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000015,OCESN14150F1608647:2023-02-04T00:41:53Z,14150,0,19,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000016,OCESN14150F1608668:2023-01-12T00:40:04Z,14150,0,20,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000008,OCESN14150F1794635:2023-01-12T00:40:04Z,14150,0,21,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000017,OCESN14151F1608626:2023-01-15T00:46:35Z,14151,1,22,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000014,OCESN14151F1608667:2023-01-08T00:39:45Z,14151,1,23,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000018,OCESN14155F1608643:2022-12-15T00:46:50Z,14155,1,24,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000001,OCESN14157F1608624:2023-01-08T00:39:45Z,14157,1,25,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000019,OCESN15940F1530007:2023-02-08T00:42:08Z,15940,0,26,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000020,OCESN15940F1759786:2023-02-08T00:42:08Z,15940,0,27,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000021,OCESN15940F1793892:2023-02-08T00:42:08Z,15940,0,28,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000019,OCESN15941F1850900:2023-02-08T00:42:08Z,15941,1,29,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000021,OCESN15941F1862487:2023-02-08T00:42:08Z,15941,1,30,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000020,OCESN15941F1896460:2023-02-08T00:42:08Z,15941,1,31,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000022,OCESN3604F1317151:2023-02-08T00:42:08Z,3604,0,32,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000023,OCESN3604F1520361:2023-02-06T00:50:52Z,3604,0,33,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000019,OCESN3604F1876398:2023-02-08T00:42:08Z,3604,0,34,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000024,OCESN3605F1317152:2022-11-30T09:21:16Z,3605,1,35,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000025,OCESN3605F1321444:2022-11-30T09:21:16Z,3605,1,36,
