Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00417-1;417;87734871;Massiac - Blesle;15500;119;Massiac;15;Cantal;3.1965518;45.2537695;GARES C AUVERGNE;Massiac - Blesle;MASSIAC GARE;MIA;45.2537695, 3.1965518
00418-1;418;87734749;Retournac;43130;162;Retournac;43;Haute-Loire;4.0361169;45.2013468;GARES C AUVERGNE;Retournac;RETOURNAC GARE;RET;45.2013468, 4.0361169
00419-1;419;87734731;Chamalières-sur-Loire;43800;49;Chamalières-sur-Loire;43;Haute-Loire;3.9909202;45.2047385;GARES C AUVERGNE;Chamalières-sur-Loire;CHAMALIERES SUR LOIRE GARE;CML;45.2047385, 3.9909202
00421-1;421;87734715;Saint-Vincent le Château;43800;230;Saint-Vincent;43;Haute-Loire;3.9186273;45.1488794;GARES C AUVERGNE;Saint-Vincent le Château;SAINT VINCENT LE CHATEAU GARE;SWC;45.1488794, 3.9186273
00426-1;426;87734475;Thiers;63300;430;Thiers;63;Puy-de-Dôme;3.5431798;45.8610502;GARES C AUVERGNE;Thiers;THIERS GARE;THI;45.8610502, 3.5431798
00427-1;427;87734459;Pont de Dore;63920;276;Peschadoires;63;Puy-de-Dôme;3.4903254;45.8427833;GARES C AUVERGNE;Pont de Dore;PONT DE DORE GARE;PDO;45.8427833, 3.4903254
00437-1;437;87734293;Paulhaguet;43230;148;Paulhaguet;43;Haute-Loire;3.5004445;45.2101978;GARES C AUVERGNE;Paulhaguet;PAULHAGUET GARE;PLH;45.2101978, 3.5004445
00441-1;441;87734228;Le Breuil-sur-Couze;63340;52;Breuil-sur-Couze;63;Puy-de-Dôme;3.2621478;45.4670838;GARES C AUVERGNE;Le Breuil-sur-Couze;LE BREUIL SUR COUZE GARE;BCZ;45.4670838, 3.2621478
00442-1;442;87734202;Issoire;63500;178;Issoire;63;Puy-de-Dôme;3.253980;45.543884;GARES B AUVERGNE;Issoire;ISSOIRE GARE;ISS;45.543884, 3.25398
00452-1;452;87734053;Riom - Châtel-Guyon;63140;300;Riom;63;Puy-de-Dôme;3.120498;45.889965;GARES B AUVERGNE;Riom - Châtel-Guyon;RIOM GARE;RIO;45.889965, 3.120498
00456-1;456;87732404;Gannat;3800;118;Gannat;3;Allier;3.2047514;46.0975964;GARES C AUVERGNE;Gannat;GANNAT GARE;GAN;46.0975964, 3.2047514
00457-1;457;87732206;Saint-Germain-des-Fossés;3260;236;Saint-Germain-des-Fossés;3;Allier;3.430614;46.209185;GARES B AUVERGNE;Saint-Germain-des-Fossés;SAINT GERMAIN DES FOSSES GARE;SGF;46.209185, 3.430614
00458-1;458;87732008;Vichy;3200;310;Vichy;3;Allier;3.430448;46.126979;GARE VICHY;Vichy;VICHY GARE;VHY;46.126979, 3.430448
00459-1;459;87731885;Alleyras;43580;5;Alleyras;43;Haute-Loire;3.673517;44.919217;GARES C AUVERGNE;Alleyras;ALLEYRAS GARE;AES;44.919217, 3.673517
00470-1;470;87726786;Pont de Lignon;43430;25;Beauzac;43;Haute-Loire;4.1372431;45.2597792;GARES C AUVERGNE;Pont de Lignon;PONT DE LIGNON GARE;PJL;45.2597792, 4.1372431
00691-1;691;87696633;Flez-Cuzy - Tannay;58190;286;Tannay;58;Nièvre;3.6149926;47.3630583;GARES C BOURGOGNE;Flez-Cuzy - Tannay;FLEZ CUZY TANNAY GARE;FEZ;47.3630583, 3.6149926
00694-1;694;87696492;Cercy-la-Tour;58340;46;Cercy-la-Tour;58;Nièvre;3.6452029;46.8578816;GARES C BOURGOGNE;Cercy-la-Tour;CERCY LA TOUR GARE;CLT;46.8578816, 3.6452029
