Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00151-1;151;87764290;Donzère;26290;116;Donzère;26;Drôme;4.7046262;44.4433646;GARES C RHONE;Donzère;DONZERE GARE;DOE;44.4433646, 4.7046262
00162-1;162;87763029;Valence TGV Rhône-Alpes Sud;26958;4;Alixan;26;Drôme;4.978703;44.991545;GARE VALENCE TGV;Valence TGV Rhône-Alpes Sud;VALENCE TGV RHONE ALPES SUD;VAL;44.991545, 4.978703
00166-1;166;87761841;Die;26150;113;Die;26;Drôme;5.3632053;44.7582549;GARES C RHONE;Die;DIE GARE;DIE;44.7582549, 5.3632053
00167-1;167;87761817;Saillans;26340;289;Saillans;26;Drôme;5.1940397;44.6944365;GARES C RHONE;Saillans;SAILLANS GARE;SIA;44.6944365, 5.1940397
00176-1;176;87761247;Livron-sur-Drôme;26250;165;Livron-sur-Drôme;26;Drôme;4.8305412;44.7796035;GARES C RHONE;Livron-sur-Drôme;LIVRON GARE;LIV;44.7796035, 4.8305412
00178-1;178;87761163;Tain-l'Hermitage - Tournon;26600;347;Tain-l'Hermitage;26;Drôme;4.839967;45.072183;GARES B RHONE ALPES;Tain-l'Hermitage - Tournon;TAIN L HERMITAGE TOURNON GARE;TAI;45.072183, 4.839967
00181-1;181;87761007;Valence;26000;362;Valence;26;Drôme;4.893273;44.928049;GARES B RHONE ALPES;Valence;VALENCE GARE;VCE;44.928049, 4.893273
00473-1;473;87726737;Fraisses - Unieux;42490;99;Fraisses;42;Loire;4.2610375;45.3948228;GARES C RHONE;Fraisses - Unieux;FRAISSE UNIEUX GARE;FRU;45.3948228, 4.2610375
00475-1;475;87726711;Le Chambon-Feugerolles;42500;44;Chambon-Feugerolles;42;Loire;4.3223823;45.3947427;GARES C RHONE;Le Chambon-Feugerolles;LE CHAMBON FEUGEROLLES GARE;LCF;45.3947427, 4.3223823
00477-1;477;87726471;Boën-sur-Lignon;42130;19;Boën-sur-Lignon;42;Loire;4.0051544;45.7413612;GARES C RHONE;Boën-sur-Lignon;BOEN GARE;BOE;45.7413612, 4.0051544
00478-1;478;87726448;Montbrison;42600;147;Montbrison;42;Loire;4.078282;45.604454;GARES B RHONE ALPES;Montbrison;MONTBRISON GARE;MOB;45.604454, 4.078282
00480-1;480;87726422;Sury-le-Comtal;42450;304;Sury-le-Comtal;42;Loire;4.1824904;45.5291194;GARES C RHONE;Sury-le-Comtal;SURY LE COMTAL GARE;SYC;45.5291194, 4.1824904
00508-1;508;87723791;Servas - Lent;1960;405;Servas;1;Ain;5.1681312;46.1306663;GARES C RHONE;Servas - Lent;SERVAS LENT GARE;SVN;46.1306663, 5.1681312
00514-1;514;87723726;Mionnay;1390;248;Mionnay;1;Ain;4.919752;45.8966784;GARES C RHONE;Mionnay;MIONNAY GARE;MIO;45.8966784, 4.919752
00517-1;517;87723585;Meximieux - Pérouges;1800;244;Meximieux;1;Ain;5.193534;45.901615;GARES B RHONE ALPES;Meximieux - Pérouges;MEXIMIEUX PEROUGES GARE;MEX;45.901615, 5.193534
00523-1;523;87723528;Miribel;1700;249;Miribel;1;Ain;4.953940;45.822088;GARES B RHONE ALPES;Miribel;MIRIBEL;MIB;45.822088, 4.95394
00526-1;526;87723478;La Tour-du-Pin;38110;509;Tour-du-Pin;38;Isère;5.450092;45.560277;GARES B RHONE ALPES;La Tour-du-Pin;LA TOUR DU PIN GARE;LTP;45.560277, 5.450092
00528-1;528;87723429;Bourgoin-Jallieu;38300;53;Bourgoin-Jallieu;38;Isère;5.273401;45.583954;GARES B RHONE ALPES;Bourgoin-Jallieu;BOURGOIN JALLIEU GARE;BRG;45.583954, 5.273401
00540-1;540;87722652;Saint-Clair - Les Roches;38370;378;Saint-Clair-du-Rhône;38;Isère;4.769707;45.450392;GARES B RHONE ALPES;Saint-Clair - Les Roches;LES ROCHES DE CONDRIEU GARE;SKR;45.450392, 4.769707
00551-1;551;87722231;Pierre-Bénite;69310;152;Pierre-Bénite;69;Rhône;4.8245059;45.7066772;GARES C RHONE;Pierre-Bénite;PIERRE BENITE HALTE;PRB;45.7066772, 4.8245059
00552-1;552;87722207;Oullins;69600;149;Oullins;69;Rhône;4.8135793;45.7166261;GARES B RHONE ALPES;Oullins;OULLINS VOITURES ANCIEN ENTRETIEN;OUL;45.7166261, 4.8135793
00555-1;555;87721860;Lamure-sur-Azergues;69870;107;Lamure-sur-Azergues;69;Rhône;4.4921137;46.0610834;GARES C RHONE;Lamure-sur-Azergues;LAMURE SUR AZERGUES GARE;LAZ;46.0610834, 4.4921137
00563-1;563;87721704;Les Flachères;69260;44;Charbonnières-les-Bains;69;Rhône;4.7541523;45.7774345;GARES C RHONE;Les Flachères;LES FLACHERES GARE;FLD;45.7774345, 4.7541523
00564-1;564;87721605;Sain-Bel;69210;171;Sain-Bel;69;Rhône;4.6012445;45.811097;GARES B RHONE ALPES;Sain-Bel;SAIN BEL GARE;SBL;45.811097, 4.6012445
00569-1;569;87721522;Le Méridien La Ferrière;69260;244;Tassin-la-Demi-Lune;69;Rhône;4.7484432;45.7684995;GARES B RHONE ALPES;Le Méridien La Ferrière;LE MERIDIEN GARE;WER;45.7684995, 4.7484432
