name,transport_mode,public_code,operator_name,operator_website
PLACE JEAN JAURES <> BOURG,bus,10,STAS,https://www.reseau-stas.fr/
MAISON D'ARRET <> RENE CASSIN,bus,101,STAS,https://www.reseau-stas.fr/
PLACE DU MOULIN <> LUZERNOD,bus,102,STAS,https://www.reseau-stas.fr/
GARE ROUTIERE <> LA FLECHETTE,bus,103,STAS,https://www.reseau-stas.fr/
GARE ROUTIERE <> LES VIGNES,bus,104,STAS,https://www.reseau-stas.fr/
GARE ROUTIERE RDG <> MAIRIE CHATEAUNEUF,bus,105,STAS,https://www.reseau-stas.fr/
GARE ROUTIERE RDG <> LE BAJARD,bus,106,STAS,https://www.reseau-stas.fr/
CIMETIERE <> CONDAMINE,bus,107,STAS,https://www.reseau-stas.fr/
CIMETIERE <> QUERET,bus,108,STAS,https://www.reseau-stas.fr/
CIMETIERE <> BOURG ST VICTOR,bus,109,STAS,https://www.reseau-stas.fr/
SQUARE VIOLETTE <> MONTPLAISIR,bus,11,STAS,https://www.reseau-stas.fr/
BEL AIR <> VILLEBOEUF-LE-HAUT,bus,12,STAS,https://www.reseau-stas.fr/
LE CHASSEUR <> PORTAIL ROUGE,bus,13,STAS,https://www.reseau-stas.fr/
CHATEAUCREUX GARE <> GRAND QUARTIER,bus,14,STAS,https://www.reseau-stas.fr/
LYCEE SIMONE WEIL <> METROTECH,bus,16,STAS,https://www.reseau-stas.fr/
LA BERTRANDIERE <> MAIRIE,bus,17,STAS,https://www.reseau-stas.fr/
HAUTS DE TERRENOIRE <> PERROTIERE,bus,20,STAS,https://www.reseau-stas.fr/
CRET DE MONTAUD <> PLACE DES PERES,bus,21,STAS,https://www.reseau-stas.fr/
BELLEVUE <> COTONNE,bus,22,STAS,https://www.reseau-stas.fr/
BELLEVUE <> LE BERNAY,bus,23,STAS,https://www.reseau-stas.fr/
DORIAN / HOTEL DE VILLE <> PETITES SOEURS,bus,24,STAS,https://www.reseau-stas.fr/
TERRASSE <> GARE,bus,25,STAS,https://www.reseau-stas.fr/
TERRASSE <> COLLEGE PARKING NORD,bus,27,STAS,https://www.reseau-stas.fr/
GREEN PARK <> ECOLE DU FAY,bus,28,STAS,https://www.reseau-stas.fr/
PLACE DU MOULIN <> CHATEAUCREUX GARE,bus,29,STAS,https://www.reseau-stas.fr/
LA MICHALIERE <> LE PERTUISET,bus,30,STAS,https://www.reseau-stas.fr/
GARE FIRMINY <> LES 3 ROUTES,bus,31,STAS,https://www.reseau-stas.fr/
GARE <> COLLEGE LA RIVE,bus,32,STAS,https://www.reseau-stas.fr/
CHAZEAU <> VERTE COLLINE,bus,33,STAS,https://www.reseau-stas.fr/
GARE <> MAIRIE,bus,34,STAS,https://www.reseau-stas.fr/
JEAN JAURES <> BASE NAUTIQUE,bus,36,STAS,https://www.reseau-stas.fr/
HOPITAL NORD <> GARE ANDREZIEUX,bus,37,STAS,https://www.reseau-stas.fr/
NAUTIFORM <> STADE LAPRA,bus,39,STAS,https://www.reseau-stas.fr/
CENTRE CIAL MALADIERE <> PISCINE COUDERC,bus,40,STAS,https://www.reseau-stas.fr/
PLACE DU MOULIN <> CRET OEILLET HAUT,bus,41,STAS,https://www.reseau-stas.fr/
PLACE DU MOULIN <> OLLAGNIERE/LE POYET,bus,42,STAS,https://www.reseau-stas.fr/
CRET OEILLET <> CHAVANNE BOURG,bus,43,STAS,https://www.reseau-stas.fr/
PLACE DU MOULIN <> LA BACHASSE,bus,44,STAS,https://www.reseau-stas.fr/
PLACE DU MOULIN <> SAINT-MARTIN-EN-COAILLEUX,bus,45,STAS,https://www.reseau-stas.fr/
GARE ROUTIERE <> MAIRIE/LE MAS,bus,46,STAS,https://www.reseau-stas.fr/
LE PLANTIER <> LA CULA,bus,47,STAS,https://www.reseau-stas.fr/
MAIRIE <> CHARLES DE GAULLE,bus,48,STAS,https://www.reseau-stas.fr/
CHARLES DE GAULLE <> MAISON FORTE,bus,49,STAS,https://www.reseau-stas.fr/
LES MARIANNES <> LA MADELEINE,bus,57,STAS,https://www.reseau-stas.fr/
